院校名称,类别,隶属部门,所在地
北京大学,综合,教育部,北京
清华大学,理工,教育部,北京
复旦大学,综合,教育部,北京
上海交通大学,综合,教育部,上海
中国科学技术大学,理工,中国科学院,安徽
南京大学,综合,教育部,江苏
浙江大学,综合,教育部,浙江
哈尔滨工业大学,理工,工信部,黑龙江
西安交通大学,理工,教育部,陕西
中国人民大学,综合,教育部,北京
北京航空航天大学,理工,工信部,北京
北京理工大学,理工,工信部,北京
中国农业大学,农业,教育部,北京
北京师范大学,师范,教育部,北京
南开大学,综合,教育部,天津
天津大学,理工,教育部,天津
大连理工大学,理工,教育部,辽宁
吉林大学,综合,教育部,吉林
同济大学,理工,教育部,上海
东南大学,综合,教育部,江苏
厦门大学,综合,教育部,福建
山东大学,综合,教育部,山东
武汉大学,综合,教育部,湖北
华中科技大学,理工,教育部,湖北
中南大学,综合,教育部,湖南
国防科学技术大学,军事,中央军委,湖南
中山大学,综合,教育部,广东
四川大学,综合,教育部,四川
重庆大学,综合,教育部,重庆
西北工业大学,理工,工信部,陕西
兰州大学,综合,教育部,甘肃
西北农林科技大学,农业,教育部,陕西
中央民族大学,民族,国家民委,北京
东北大学,理工,教育部,辽宁
华东师范大学,师范,教育部,上海
中国海洋大学,综合,教育部,山东
湖南大学,综合,教育部,湖南
华南理工大学,理工,教育部,广东
电子科技大学,理工,教育部,四川
北京交通大学,理工,教育部,北京
北京科技大学,理工,教育部,北京
北京化工大学,理工,教育部,北京
北京邮电大学,理工,教育部,北京
北京林业大学,林业,教育部,北京
北京中医药大学,医药,教育部,北京
中国传媒大学,语言,教育部,北京
中央财经大学,财经,教育部,北京
中国政法大学,政法,教育部,北京
华北电力大学,理工,教育部,北京
华北电力大学,理工,教育部,河北
东北师范大学,师范,教育部,吉林
东北林业大学,林业,教育部,黑龙江
华东理工大学,理工,教育部,上海
南京航空航天大学,理工,工信部,江苏
南京理工大学,理工,工信部,江苏
中国矿业大学,理工,教育部,北京
中国矿业大学,理工,教育部,江苏
河海大学,理工,教育部,江苏
江南大学,综合,教育部,江苏
南京农业大学,农业,教育部,江苏
中国药科大学,医药,教育部,江苏
合肥工业大学,理工,教育部,安徽
武汉理工大学,理工,教育部,湖北
华中农业大学,农业,教育部,湖北
华中师范大学,师范,教育部,湖北
中南财经政法大学,财经,教育部,湖北
暨南大学,综合,国务院侨办,广东
西南交通大学,理工,教育部,四川
西南财经大学,财经,教育部,四川
西南大学,综合,教育部,重庆
西安电子科技大学,理工,教育部,陕西
长安大学,理工,教育部,陕西
陕西师范大学,师范,教育部,陕西
中国石油大学,理工,教育部,山东
中国石油大学,理工,教育部,北京
中国地质大学,理工,教育部,湖北
中国地质大学,理工,教育部,北京
哈尔滨工程大学,理工,工信部,黑龙江
上海财经大学,财经,教育部,上海
北京外国语大学,语言,教育部,北京
对外经济贸易大学,财经,教育部,北京
北京体育大学,体育,国家体育总局,北京
中央音乐学院,艺术,教育部,北京
大连海事大学,理工,交通部,辽宁
东华大学,理工,教育部,上海
上海外国语大学,语言,教育部,上海
第二军医大学,军事,解放军总政治部,上海
第四军医大学,军事,解放军总政治部,陕西
北京工业大学,理工,北京市,北京
天津医科大学,医药,天津市,天津
河北工业大学,理工,河北省,天津
太原理工大学,理工,山西省,山西
内蒙古大学,综合,内蒙古自治区,内蒙古
辽宁大学,综合,辽宁省,辽宁
延边大学,综合,吉林省,吉林
东北农业大学,农业,黑龙江省,黑龙江
上海大学,综合,上海市,上海
苏州大学,综合,江苏省,江苏
南京师范大学,师范,江苏省,江苏
安徽大学,综合,安徽省,安徽
福州大学,理工,福建省,福建
南昌大学,综合,江西省,江西
郑州大学,综合,河南省,河南
湖南师范大学,师范,湖南省,湖南
华南师范大学,师范,广东省,广东
广西大学,综合,广西壮族自治区,广西
四川农业大学,农业,四川省,四川
贵州大学,综合,贵州省,贵州
云南大学,综合,云南省,云南
西北大学,综合,陕西省,陕西
新疆大学,综合,新疆维吾尔自治区,新疆
海南大学,综合,海南省,海南
青海大学,综合,青海省,青海
宁夏大学,综合,宁夏回族自治区,宁夏
石河子大学,综合,新疆生产建设兵团,新疆
西藏大学,综合,西藏自治区,西藏
