,年份,报名人数,实际录取人数,实际录取率
0,2018,975,790.99,81.13
1,2017,940,761.49,81.01
2,2016,940,748.61,79.64
3,2015,942,737.85,78.33
4,2014,939,721.40,76.83
5,2013,912,699.83,76.74
6,2012,915,688.83,75.28
7,2011,933,681.50,73.04
8,2010,946,661.76,69.95
9,2009,1020,639.49,62.70
10,2008,1050,607.66,57.87
11,2007,1010,565.92,56.03
12,2006,950,546.05,57.48
13,2005,877,504.46,57.52
14,2004,729,447.34,61.36
15,2003,613,382.17,62.34
16,2002,510,320.50,62.84
17,2001,454,268.28,59.09
18,2000,375,220.61,58.83
19,1999,288,159.68,55.44
20,1998,320,108.36,33.86
